COUNTRY,YEAR,TOTAL POINTS,TRIES SCORED,TRY ASSISTS,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,ATTACKING 22M ENTRIES,POINTS PER 22M ENTRY,CARRIES,METRES CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,BREAKDOWN STEALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUTS WON,SCRUM WIN %,METRES GAINED,% RUCKS 0-3 SECONDS,% RUCKS 4-6 SECONDS,% RUCKS OVER 6 SECONDS
SCOTLAND,2009,79,4,,17,4,87.5,,,423,2034.7,699,56,41,138,90.11,911,100,1143,222,,,,,50,,,,
ITALY,2009,49,2,,12,,63.16,,,374,1361,631,21,18,177,85.85,789,130,1098,198,,,,,61.02,,,,
FRANCE,2010,135,13,1,13,11,80,,,355,1063.1,569,69,39,153,88.75,639,81,1182,338,,39,3,43,70.31,,,,
WALES,2010,113,10,,15,9,80,,,496,1763.7,854,45,40,142,89.07,546,67,1421,307,,43,1,53,57.14,,,,
IRELAND,2010,106,11,1,12,6,64.29,,,323,939.7,562,33,32,144,91.34,622,59,1016,368,,38,10,41,67.65,,,,
ENGLAND,2010,88,6,,14,5,70.37,,,374,1660.4,533,29,36,156,89.22,538,65,1279,338,,44,5,53,51.85,,,,
SCOTLAND,2010,83,3,,17,1,75,,,415,2322.4,696,50,38,132,93.16,654,48,1208,296,,30,4,47,57.38,,,,
ITALY,2010,69,5,,12,4,76.19,,,307,1196.4,447,39,20,169,91.43,683,64,923,331,,40,1,50,75,,,,
ENGLAND,2011,132,13,,15,11,86.67,12,0.58,499,1105.3,839,61,61,90,91.59,697,64,1427,271,,48,4,56,70.59,,,,
FRANCE,2011,117,10,,16,8,75,,,450,1888.1,705,49,35,91,91.62,711,65,1147,241,,38,4,42,56.6,,,,
WALES,2011,95,6,,18,4,75.86,,,468,1549.3,635,45,29,127,93.74,839,56,1289,383,,39,4,44,70.97,,,,
IRELAND,2011,93,10,,8,8,76.19,11,0.91,442,901.4,711,36,36,118,95.14,704,36,1200,374,,37,2,45,64.29,,,,
SCOTLAND,2011,82,6,,12,5,80.95,6,1.67,495,1392,812,66,41,119,93.32,796,57,1204,354,,37,10,51,48.89,,,,
ITALY,2011,70,6,1,12,2,56,4,1.25,544,2109,733,39,28,88,90.55,767,80,1244,267,,44,,53,51.06,,,,
IRELAND,2012,121,13,,12,10,78.57,,,394,1794.4,556,22,28,109,91.13,699,68,1222,368,,26,6,31,58.14,,,,
WALES,2012,109,10,,15,7,70.97,,,543,2597,772,27,30,125,88.73,693,88,1626,301,,49,3,56,66.67,,,,
FRANCE,2012,101,8,,16,5,70,,,432,2036.6,636,54,28,115,89.65,684,79,1157,305,,41,4,43,74.51,,,,
ENGLAND,2012,98,7,,17,6,82.14,,,355,1646.4,561,21,18,136,87.88,754,104,1126,333,,43,4,49,63.46,,,,
SCOTLAND,2012,56,4,,10,3,76.47,,,584,2751.4,876,62,33,93,89.06,635,78,1437,307,,41,2,49,60.38,,,,
ITALY,2012,53,4,,7,3,52.63,,,432,2153.2,648,33,17,119,87.47,670,96,1212,283,,46,5,53,43.4,,,,
WALES,2013,122,9,,20,7,81.82,,,464,1316.8,634,16,22,125,92.52,656,53,1328,292,,40,,55,68.75,,,,
SCOTLAND,2013,98,7,,17,6,85.19,,,293,1176.1,373,22,16,128,89.94,876,98,866,284,,36,6,46,50,,,,
ENGLAND,2013,94,5,,21,3,77.42,,,419,2370.5,652,32,22,126,89.08,734,90,1173,335,,46,2,52,54.17,,,,
ITALY,2013,75,5,,12,4,76.19,,,525,3018.8,731,37,27,122,90.52,621,65,1391,246,,42,5,45,65.31,,,,
FRANCE,2013,73,6,,11,5,69.57,,,479,2866.6,668,41,19,132,89.34,637,76,1269,325,,45,5,56,68.97,,,,
IRELAND,2013,72,5,,13,4,70.83,,,410,1466.6,529,9,14,122,89.56,575,67,1267,291,,50,2,56,62.5,,,,
ENGLAND,2014,138,14,9,12,13,83.33,18,2.72,574,3829.1,808,53,34,122,87.55,696,99,1345,290,5,58,6,67,63.41,,,,
IRELAND,2014,132,16,10,10,11,75,21,7.46,591,3062.7,831,23,22,137,88.32,726,96,1579,279,5,67,4,70,62.26,,,,
WALES,2014,122,11,7,17,8,83.33,12,4,494,2405,677,43,20,120,88.53,764,99,1285,377,9,59,2,66,51.52,,,,
FRANCE,2014,101,9,3,14,7,72.41,15,4,477,3129.2,640,75,22,113,88.54,695,90,1109,288,6,43,4,50,54.84,,,,
ITALY,2014,63,7,2,6,5,61.11,11,2.23,410,2452.9,589,46,13,77,90.62,1005,104,906,327,5,40,2,46,64.58,,,,
SCOTLAND,2014,47,4,2,6,3,52.94,13,2.8,514,2720.8,684,42,14,109,88.94,764,95,1229,352,4,37,5,44,59.09,,,,
ENGLAND,2015,157,18,,12,14,76.47,,,474,2812.3,706,43,38,125,90.39,856,91,1172,310,,41,3,54,69.57,,,,
WALES,2015,146,13,,19,9,82.35,,,438,436.5,637,34,24,114,89.52,846,99,1264,406,,42,5,50,60,,,,
IRELAND,2015,119,8,,21,8,85.29,9,1.56,600,1686.5,883,13,16,122,88.17,738,99,1747,322,,47,5,50,62.5,,,,
FRANCE,2015,103,9,,16,5,63.64,,,510,2579.3,711,62,24,100,89,599,74,1298,368,,44,4,53,64.86,,,,
SCOTLAND,2015,73,6,,11,5,88.89,,,479,1142.9,653,44,28,98,88.67,759,97,1155,383,,42,3,52,50,,,,
ITALY,2015,62,8,,4,5,50,6,,425,957,631,33,11,80,90.26,778,84,1093,317,,42,1,48,60.42,,,,
WALES,2016,150,17,16,11,16,90,,,561,2175.5,786,40,29,121,90.47,835,88,1312,386,,43,3,50,63.33,,,,
ENGLAND,2016,132,13,13,17,8,78.13,,,512,2649.9,593,35,17,119,88.93,811,101,1214,313,,50,9,55,69.39,,,,
IRELAND,2016,128,15,15,11,10,77.78,,,632,2354.7,908,24,21,96,92.29,969,81,1638,352,,38,6,41,62.96,,,,
SCOTLAND,2016,122,11,11,17,8,83.33,,,488,1825.6,612,30,20,89,90.58,750,78,1128,378,,41,3,45,57.89,,,,
FRANCE,2016,82,7,7,13,4,70.83,,,618,2831.2,773,73,24,76,88.45,643,84,1268,331,,55,3,59,75.68,,,,
ITALY,2016,79,8,8,8,6,73.68,,,586,1851.5,778,36,14,74,90.57,864,90,1365,295,,49,1,57,53.33,,,,
ENGLAND,2017,146,16,16,14,12,76.47,,,558,3292.7,687,42,24,118,93.11,851,63,1258,223,7,47,2,51,56.86,,,,
IRELAND,2017,126,14,14,9,13,95.65,16,3.94,799,3637.4,1146,38,22,122,91.41,798,75,1971,234,4,59,2,67,78.95,,,,
SCOTLAND,2017,122,14,14,10,11,84,,,579,3244.5,692,23,18,108,91.85,845,75,1242,340,10,46,5,52,55.88,,,,
FRANCE,2017,107,8,8,17,8,86.21,,,637,4405.9,840,67,32,91,91.22,894,86,1158,402,8,31,4,37,74.58,,,,
WALES,2017,102,8,8,16,7,88.46,,,610,3533.6,769,29,17,102,90.25,990,107,1310,293,13,56,5,60,64.52,,,,
ITALY,2017,50,6,5,3,4,46.67,8,1.75,484,2019.6,557,26,14,103,86.71,933,143,1141,256,4,46,2,57,63.64,,,,
IRELAND,2018,160,20,20,7,18,75.76,45,15.52,790,4375,1049,33,20,106,90.95,804,80,1850,268,9,60,5,62,66.67,,,,
WALES,2018,119,13,13,10,12,88,44,14.02,563,3509.5,841,43,24,133,90.53,1013,106,1114,357,12,45,6,49,70.21,,,,
FRANCE,2018,108,8,7,17,6,85.19,31,14.24,639,3436.9,788,51,29,98,93.06,925,69,1195,408,22,40,4,43,62.16,,,,
ENGLAND,2018,102,14,14,6,7,65,50,8,727,4246.9,996,34,21,115,90.14,997,109,1560,282,9,52,4,54,60,,,,
SCOTLAND,2018,101,11,11,10,8,81.82,37,11.01,632,3886,923,38,23,110,91.49,1010,94,1304,414,22,43,2,54,71.43,,,,
ITALY,2018,92,12,11,4,9,81.25,35,13.16,582,3446.6,774,43,21,95,90.6,1099,114,1220,360,11,42,5,49,65,,,,
ENGLAND,2019,184,24,23,8,19,81.82,48,14.84,596,3788.4,757,37,29,163,88.49,1030,134,1198,283,11,44,4,49,69.57,,,,
WALES,2019,114,10,10,16,8,82.76,37,11.71,548,2699,630,29,13,132,91.22,925,89,1175,443,9,34,1,42,58.93,,,,
SCOTLAND,2019,105,14,14,5,10,71.43,46,11.95,676,4366.3,919,30,22,115,88.98,1001,124,1419,499,11,51,1,55,75,,,,
IRELAND,2019,101,14,14,3,11,82.35,44,13.52,722,3786,948,18,18,106,89.43,711,84,1626,263,6,64,5,71,68.57,,,,
FRANCE,2019,93,12,12,5,6,55,37,12.85,581,3443.6,679,62,21,136,89.89,880,99,1098,373,13,40,6,48,80.56,,,,
ITALY,2019,79,10,10,7,4,52.38,40,8.8,635,3540.4,771,30,17,104,89.16,855,104,1287,318,5,54,7,57,49.09,,,,
FRANCE,2020,138,17,16,9,12,75,38,17.82,538,3203.5,546,55,21,160,89.79,862,98,991,492,14,50,5,53,79.17,327.5,,,
IRELAND,2020,132,17,13,7,13,74.07,48,12.2,630,3687.9,785,25,29,109,89.43,677,80,1265,286,25,54,8,54,75.61,907.3,,,
ENGLAND,2020,121,14,11,9,12,80.77,43,13.87,454,2526.5,588,20,14,182,90.53,784,82,1002,281,10,50,7,53,69.81,335.3,,,
WALES,2020,119,13,12,10,12,95.65,40,12.81,633,3451.2,862,53,23,142,90.79,769,78,1178,316,12,57,3,62,63.46,191.5,,,
SCOTLAND,2020,77,7,6,12,3,68.18,46,6.11,553,3297.4,645,18,22,118,92.49,751,61,1172,390,16,44,3,54,67.57,272,,,
ITALY,2020,44,6,5,2,4,60,37,5.44,605,3491.6,805,47,20,112,88.93,771,96,1165,350,13,66,2,69,63.16,469,,,
WALES,2021,164,20,12,12,14,81.25,39,19.02,511,3031.5,720,20,27,147,88.07,864,117,1036,387,7,59,4,59,92.59,1552.4,46.12,27.76,18.59
FRANCE,2021,140,18,16,8,13,75,41,14.51,552,3552.2,651,46,33,137,89.8,836,95,876,430,16,64,4,66,81.25,2192.1,53.44,24.07,10.85
SCOTLAND,2021,138,18,10,6,15,77.78,45,14.54,705,4014.4,785,34,32,134,90.89,559,56,1392,279,12,58,7,59,71.88,2183.2,46.59,31.57,13.65
IRELAND,2021,136,12,6,18,11,93.55,33,16.55,663,3721.8,869,18,23,151,86.24,583,93,1251,321,23,45,8,48,77.78,1932.6,62.26,25.57,4.59
ENGLAND,2021,112,12,7,12,8,80,38,11.55,511,3117.4,665,20,27,127,86.53,578,90,905,247,12,54,4,55,75.86,1915.8,54.14,25.31,9.27
